x,y,z 
-0.48,-0.01,0.25
-0.55,0.02,0.14
-0.52,0.03,0.12
-0.26,-0.0,0.17
-0.15,0.02,-0.03
-0.16,-0.01,0.0
-0.17,-0.0,0.07
-0.22,-0.02,0.09
-0.2,0.01,0.09
-0.16,-0.01,0.06
-0.13,-0.01,0.09
-0.1,0.0,0.03
-0.11,-0.0,0.09
-0.07,0.0,0.06
-0.03,0.0,0.05
-0.01,0.0,0.05
0.05,-0.0,0.02
0.08,-0.01,0.01
0.43,0.02,-0.14
0.49,-0.03,-0.16
0.31,-0.02,-0.16
0.08,0.01,0.07
0.02,-0.01,0.08
0.01,0.02,0.06
0.02,-0.02,0.08
0.08,-0.01,0.02
0.08,0.01,-0.03
0.05,0.0,-0.0
-0.04,-0.01,0.01
-0.1,0.0,0.03
-0.13,0.0,0.05
-0.16,-0.21,0.01
-0.13,-0.01,0.08
-0.1,0.01,0.04
-0.1,0.0,0.1
-0.06,-0.0,0.01
-0.04,-0.0,0.05
-0.0,-0.0,0.07
0.05,-0.01,-0.01
0.08,-0.01,0.03
0.2,0.01,-0.08
0.37,0.02,-0.15
0.29,-0.03,-0.15
0.11,0.02,0.03
0.05,0.0,0.05
0.02,-0.0,0.05
0.03,0.0,0.03
0.06,-0.01,0.02
0.05,0.01,0.01
0.04,-0.0,-0.02
-0.0,0.0,0.03
-0.03,-0.0,0.02
-0.11,-0.0,0.02
-0.15,-0.0,0.05
-0.18,-0.0,0.05
-0.21,-0.0,0.05
-0.23,-0.0,0.04
-0.42,-0.0,0.19
-0.52,0.02,0.16
-0.51,0.02,0.13
-0.43,-0.02,0.18
